allocation-only   fem/dofhandler.cc:ds_                                       : 323 -  ???: ds_ = new Distribution(lsize_, PETSC_COMM_WORLD);
allocation-only   flow/richards_lmh.cc:output_object                          :  57 -  ???: output_object = new DarcyFlowMHOutput(this, in_rec.val<Input::Record>("output"));
allocation-only   flow/richards_lmh.cc:time_                                  :  50 -  ???: time_ = new TimeGovernor(in_rec.val<Input::Record>("time"));
allocation-only   input/accessors.cc:result_storage                           : 272 -  ???: StorageArray* result_storage = new StorageArray(vec_size);
deallocation-only input/accessors.hh:root_storage_                            : ??? -  176: delete root_storage_;
deallocation-only input/path_json.cc:ref_path                                 : ??? -  306: delete ref_path;
allocation-only   input/reader_to_storage.cc:root_path                        :  96 -  ???: root_path = new PathYAML(in);
deallocation-only input/reader_to_storage.cc:ref_path                         : ??? -  138: delete ref_path;
allocation-only   input/reader_to_storage.cc:storage_array                    : 352 -  ???: StorageArray *storage_array = new StorageArray(1);
allocation-only   input/storage.cc:copy                                       :  93 -  ???: StorageArray *copy = new StorageArray(this->get_array_size());
deallocation-only input/storage.cc:array_                                     : ??? -  112: delete array_[index];
allocation-only   input/storage_transpose.cc:storage_array                    : 142 -  ???: StorageArray *storage_array = new StorageArray(array_size);
deallocation-only io/output_time.impl.hh:this                                 : ??? -  132: delete[] this->data_;
allocation-only   io/output_time.impl.hh:data_                                : 123 -  ???: data_ = new ElemType[this->n_values * this->n_elem_];
deallocation-only la/linsys.cc:subdomain_indices                              : ??? -  526: delete[] subdomain_indices;
deallocation-only la/local_to_global_map.cc:nonlocal_indices_                 : ??? -   55: delete nonlocal_indices_;
deallocation-only la/schur.cc:Compl                                           : ??? -  351: if (Compl != NULL)            delete Compl;
allocation-only   la/schur.cc:ds_                                             : 242 -  ???: ds_ = new Distribution(loc_size_B, PETSC_COMM_WORLD);
allocation-only   la/sparse_graph.cc:adj                                      : 368 -  ???: adj = new int[lsize_adj];
allocation-only   la/sparse_graph.cc:rows                                     : 367 -  ???: rows = new int[lsize_vtxs];
allocation-only   la/sparse_graph.cc:adj_weights                              : 369 -  ???: adj_weights = new int [lsize_adj];
allocation-only   main.cc:passed_argv_                                        : 183 -  ???: passed_argv_ = new char * [passed_argc_+1];
allocation-only   mesh/elements.cc:permutation_idx_                           :  71 -  ???: permutation_idx_ = new unsigned int[n_sides()];
allocation-only   mesh/elements.cc:edge_idx_                                  :  69 -  ???: edge_idx_ = new unsigned int [ n_sides()];
allocation-only   mesh/elements.cc:node                                       :  68 -  ???: node = new Node * [ n_nodes()];
allocation-only   mesh/mesh.cc:neigh_vb                                       : 609 -  ???: ele->neigh_vb = new struct Neighbour* [ele->n_neighs_vb];
allocation-only   mesh/mesh.cc:side_                                          : 500 -  ???: edg->side_ = new struct SideIter[1];
deallocation-only mesh/mesh.cc:ele                                            : ??? -  156: if (ele->boundary_idx_) delete[] ele->boundary_idx_;
allocation-only   mesh/mesh.cc:boundary_idx_                                  : 464 -  ???: e->boundary_idx_ = new unsigned int [ e->n_sides() ];
deallocation-only mesh/mesh.cc:edg                                            : ??? -  142: if (edg.side_) delete[] edg.side_;
deallocation-only mesh/ngh/src/intersection.cpp:insec_tmp                     : ??? -  928: delete insec_tmp;
deallocation-only mesh/ngh/src/intersection.cpp:insec_point_tmp               : ??? -  761: delete insec_point_tmp[1];
allocation-only   mesh/ngh/src/intersection.cpp:insec                         : 925 -  ???: insec = new IntersectionLocal(IntersectionLocal::line);
allocation-only   mesh/ngh/src/polygon.cpp:V                                  :  74 -  ???: TVertex* V = new TVertex(P);
allocation-only   mesh/partitioning.cc:ordering                               : 196 -  ???: AOCreateBasicIS(new_numbering, PETSC_NULL, &new_old_ao); // app ordering= new; petsc ordering = old
allocation-only   mesh/partitioning.cc:new_ds                                 : 188 -  ???: new_ds = new Distribution((unsigned int *) new_counts, PETSC_COMM_WORLD); // new distribution
allocation-only   mesh/reader_instances.cc:instance                           :  21 -  ???: static ReaderInstances *instance = new ReaderInstances;
allocation-only   reaction/sorption.cc:data_                                  : 118 -  ???: data_ = new EqData(output_conc_name);
deallocation-only reaction/sorption_base.cc:data_                             : ??? -  119: if (data_ != nullptr) delete data_;
deallocation-only system/mpiuni/mpi.h:Petsc_MPI_Attr_delete                   : ??? -  226: #define MPI_Attr_delete   Petsc_MPI_Attr_delete
deallocation-only system/system.cc:directory                                  : ??? -  447: INPUT_CHECK(!( rc != 0 ),"Cannot delete directory %s\n", s );
allocation-only   system/xio.cc:instance                                      :  75 -  ???: instance = new Xio();
deallocation-only tools/interpolant.cc:func_diffn                             : ??? -  563: if(func_diffn) delete func_diffn;
deallocation-only tools/interpolant.cc:func_diff                              : ??? -  562: if(func_diff) delete func_diff;
allocation-only   tools/interpolant_impl.hh:func_diffn                        : 380 -  ???: func_diffn = new Func<T<Type> >();
allocation-only   tools/interpolant_impl.hh:func_diff                         : 379 -  ???: func_diff = new Func<B<Type> >();
allocation-only   transport/transport.cc:time_                                :  82 -  ???: time_ = new TimeGovernor(in_rec.val<Input::Record>("time"));
deallocation-only transport/transport_dg.cc:side_dof_indices                  : ??? -  981: delete[] side_dof_indices[i];
deallocation-only transport/transport_dg.cc:fe_values                         : ??? -  980: delete fe_values[i];
deallocation-only transport/transport_dg.cc:output_solution                   : ??? -  359: delete[] output_solution[i];
deallocation-only transport/transport_operator_splitting.cc:Semchem_reactions : ??? -  214: if (Semchem_reactions) delete Semchem_reactions;
allocation-only   transport/transport_operator_splitting.hh:time_             : 133 -  ???: time_=new TimeGovernor();
